id	word	kana	meaning	type	example	exampleMeaning
n5-watashi	私	わたし	我	代词	私は学生です。	我是学生。
n5-anata	あなた	あなた	你	代词	あなたは先生ですか。	你是老师吗？
n5-kono	この	この	这个	连体词	この本は新しいです。	这本书是新的。
n5-sono	その	その	那个	连体词	そのかばんは誰のですか。	那个包是谁的？
n5-ano	あの	あの	那个（远处）	连体词	あの人は先生です。	那个人是老师。
n5-dono	どの	どの	哪一个	连体词	どの本を読みますか。	你读哪本书？
n5-kore	これ	これ	这个	代词	これは日本語の本です。	这是日语书。
n5-sore	それ	それ	那个	代词	それは私のノートです。	那是我的笔记本。
n5-are	あれ	あれ	那个（远处）	代词	あれは駅です。	那是车站。
n5-dore	どれ	どれ	哪一个	代词	あなたの傘はどれですか。	哪一把是你的伞？
n5-koko	ここ	ここ	这里	代词	ここで勉強します。	在这里学习。
n5-soko	そこ	そこ	那里	代词	そこに椅子があります。	那里有椅子。
n5-asoko	あそこ	あそこ	那里（远处）	代词	あそこに図書館があります。	那边有图书馆。
n5-doko	どこ	どこ	哪里	代词	トイレはどこですか。	洗手间在哪里？
n5-dare	誰	だれ	谁	代词	あの人は誰ですか。	那个人是谁？
n5-nani	何	なに	什么	代词	これは何ですか。	这是什么？
n5-hito	人	ひと	人	名词	教室に人がいます。	教室里有人。
n5-otoko	男	おとこ	男人	名词	あの男の人は先生です。	那个男人是老师。
n5-onna	女	おんな	女人	名词	女の人が道を歩いています。	女人在路上走。
n5-kodomo	子供	こども	孩子	名词	公園に子供がいます。	公园里有孩子。
n5-tomodachi	友達	ともだち	朋友	名词	友達と映画を見ます。	和朋友看电影。
n5-kazoku	家族	かぞく	家人	名词	家族とご飯を食べます。	和家人吃饭。
n5-chichi	父	ちち	父亲（我的）	名词	父は会社員です。	我父亲是公司职员。
n5-haha	母	はは	母亲（我的）	名词	母は料理が上手です。	我母亲很会做饭。
n5-otousan	お父さん	おとうさん	爸爸	名词	お父さんは元気です。	爸爸很精神。
n5-okaasan	お母さん	おかあさん	妈妈	名词	お母さんに電話します。	给妈妈打电话。
n5-ani	兄	あに	哥哥（我的）	名词	兄は大学生です。	我哥哥是大学生。
n5-ane	姉	あね	姐姐（我的）	名词	姉は日本にいます。	我姐姐在日本。
n5-otouto	弟	おとうと	弟弟	名词	弟は小学生です。	弟弟是小学生。
n5-imouto	妹	いもうと	妹妹	名词	妹は犬が好きです。	妹妹喜欢狗。
n5-sensei	先生	せんせい	老师	名词	先生に質問します。	向老师提问。
n5-gakusei	学生	がくせい	学生	名词	私は学生です。	我是学生。
n5-kaishain	会社員	かいしゃいん	公司职员	名词	兄は会社員です。	哥哥是公司职员。
n5-isha	医者	いしゃ	医生	名词	父は医者です。	父亲是医生。
n5-namae	名前	なまえ	名字	名词	名前を書いてください。	请写名字。
n5-asa	朝	あさ	早晨	名词	朝、コーヒーを飲みます。	早上喝咖啡。
n5-hiru	昼	ひる	白天、中午	名词	昼にパンを食べます。	中午吃面包。
n5-yoru	夜	よる	夜晚	名词	夜に日本語を勉強します。	晚上学习日语。
